name,esm_c_mean,esm_c_max,prott5_mean,prott5_max,protbert_mean,protbert_max,ankh_em_mean,ankh_em_max
DPPIV_inhibitory_activity,0.8463214855320118,0.8675495557074504,0.8436386420596949,0.8487696514012303,0.8169879243563454,0.827671451355662,0.8255422647527911,0.8464684438368648
HemoPI1,0.9684995904995904,0.9755855855855856,0.9706666666666668,0.9746683046683048,0.9505241605241604,0.9628337428337428,0.975929565929566,0.9782882882882884
HemoPI2,0.7750698493980401,0.782207999788645,0.7686554085642445,0.7821366789459356,0.7480687570140585,0.7652401349456049,0.7642685943625636,0.7760475629269459
HemoPI3,0.7760962379788047,0.7892634828470179,0.7671366239828711,0.783072136946229,0.7328947557034724,0.7596107203552723,0.7714831804541247,0.7927299424121458
Hemo_HAPPENN,0.8009972253089886,0.8172746080540716,0.80480850879075,0.8238131163938937,0.7687667502750326,0.7859381580520755,0.8032859710561681,0.815053340184375
ace_inhibitory_activity,0.7964642114642114,0.8133189783189783,0.8038562518562518,0.8264166914166914,0.7481152361152361,0.7632877932877934,0.8034740124740125,0.832958122958123
ace_vaxinpad,0.925728408203818,0.9400567738272656,0.9380120644382938,0.947340855865446,0.9021420765027324,0.916525086934923,0.9364980483996878,0.9575356610602512
acp_anticp,0.8996767676767679,0.9086868686868688,0.9126363636363636,0.9264141414141416,0.8863232323232324,0.9041414141414142,0.9044444444444444,0.9196464646464648
acp_iacp,0.9186320815589109,0.9285133565621372,0.9191347270615564,0.930952380952381,0.9051806684733515,0.9202864885791716,0.918808878564976,0.9309265711704736
acp_mlacp,0.785272822622756,0.7902182103822677,0.7890952653186164,0.8122654941750543,0.7712582872679475,0.798657561625583,0.7938517294776455,0.8156445702864756
afp_amppred,0.9032269034577542,0.9150123586093614,0.9036812049714824,0.9152529612042116,0.8807117221849012,0.8957215357169337,0.9076658594820152,0.9219207302809966
afp_antifp,0.9144668832085864,0.9314174080873698,0.9260610554064868,0.9355246434119476,0.896356211457892,0.9070599726968884,0.9194826531092596,0.9290177940968788
aip_aippred,0.6008692063492064,0.6141015873015874,0.5835676190476191,0.6133904761904762,0.5589644444444446,0.5665968253968254,0.562670476190476,0.5713650793650794
aip_antiinflam,0.646325073898614,0.6555453021378783,0.6424960778305373,0.6589891948923667,0.6258098709287216,0.6354391487555715,0.6263164782749288,0.6424432670155856
amp_antibp,0.9665891472868215,0.976797647687784,0.969144613739642,0.9756214915797916,0.9493664795509222,0.9593557872226676,0.970983694199412,0.9779604383854584
amp_antibp2,0.9381697274250036,0.9509220851733412,0.9445888279782754,0.9544195472311052,0.920966529617786,0.9343314552560784,0.9442721740013198,0.9529194964722604
amp_csamp,0.9655794871794872,0.9708205128205128,0.9557179487179488,0.9694871794871796,0.9485538461538464,0.9595,0.9682371794871796,0.98
amp_fernandes,0.7998550724637681,0.8268115942028986,0.8063768115942029,0.8262681159420289,0.7548550724637682,0.7791666666666667,0.7805434782608694,0.8090579710144927
amp_gonzales,0.8281428571428572,0.8576190476190476,0.8304285714285715,0.916904761904762,0.8318095238095239,0.8688095238095238,0.8902857142857142,0.9257142857142856
amp_iamp2l,0.8781388300888301,0.8941570524070525,0.8920623363123363,0.9021355131355132,0.8633238626238626,0.8721958176958177,0.877743983043983,0.9007475294975296
amp_modlamp,0.938788262168336,0.9506291192163624,0.9425025646174828,0.9538174728686062,0.917103491170966,0.9261589309770648,0.940054756465932,0.9510400158423352
anitinflamatory,0.5827996799950699,0.5900278843444826,0.5787378857890546,0.5881422466111098,0.5499220606673774,0.5593336901529554,0.560900165437746,0.5779554952638852
anti_MRSA,0.8903574940688375,0.9280453768938712,0.9014857792127255,0.9284305723921888,0.8792118455217224,0.9159825725842264,0.8974514364815505,0.9111324219547032
antibacterial,0.9362892931681188,0.94757220835705,0.939913393756294,0.9502900739962344,0.9260564239531794,0.9360951661631418,0.93430761708773,0.9511356305734344
anticancer_alternative,0.9184536082474226,0.9304123711340206,0.9239175257731956,0.9340206185567008,0.9,0.9103092783505154,0.9229896907216494,0.9350515463917526
anticancer_main,0.7231449119505309,0.7427779271407446,0.7267455303132141,0.7514585293722276,0.724866917596451,0.7468040059147734,0.7275426804678048,0.75146525070574
antidiabetic,0.7206205673758865,0.7393617021276596,0.6994237588652482,0.7371897163120569,0.6845478723404254,0.709441489361702,0.6996808510638297,0.739095744680851
antifungal,0.9421851682655704,0.947624486066697,0.9550779148266588,0.9617303690168012,0.9285894117049897,0.9395614435815444,0.9506481904471856,0.9617379828435104
antimalarial_alternative,0.9052933395580456,0.9351431683784626,0.9186923436041085,0.9416830065359476,0.8758482726423902,0.9225669156551508,0.8878543417366946,0.9364923747276688
antimalarial_main,0.7662751244770404,0.8278628744546209,0.7935949983039151,0.8335547016645026,0.7292783450889567,0.8124775317479813,0.7501214552798932,0.8092805090594333
antimicrobial,0.8344722750043184,0.8548645736654261,0.839889972507766,0.8566764553463464,0.8210938629955702,0.8347857274609062,0.830673574371031,0.8530491785999749
antimicrobial_UniDL4BioPep,0.9528827815806916,0.9613762941067592,0.9567732358027332,0.96283408006441,0.9348621559806046,0.9515536500205009,0.9461653716020731,0.961375581620781
antioxidant,0.894811320754717,0.9212264150943396,0.920188679245283,0.9396226415094338,0.799622641509434,0.8141509433962264,0.910377358490566,0.9325471698113208
antioxidant_UniDL4BioPep,0.722247721336106,0.7459673049366797,0.7424237369175485,0.771390891805046,0.6908537037119233,0.7221072364023016,0.7227745258902034,0.7538799087474112
antiparasitic,0.7462497849435937,0.767191199482226,0.7476456443909193,0.7593921277066384,0.7162132663176608,0.747396076551888,0.7388717321667034,0.7586790621082902
antiviral,0.8241136250765162,0.8486729496552441,0.8300937250961506,0.8585244794012683,0.8089979557187901,0.828120993728561,0.8165708048924152,0.859200997886421
atb_antitbp,0.8305224489795918,0.8435102040816327,0.8320979591836736,0.8435102040816327,0.8211591836734694,0.843591836734694,0.8182612244897957,0.8395102040816326
atb_iantitb,0.7637714285714285,0.7724489795918367,0.760195918367347,0.7805714285714286,0.7395510204081632,0.754,0.7480408163265306,0.7702448979591837
avp_amppred,0.8518723887504676,0.8640001938955141,0.8554403261459912,0.8688616827594661,0.8254935723901241,0.8452235715659361,0.8473077808631995,0.8824868473329064
avp_avppred,0.8139844049979542,0.8245442671450602,0.8117524785194978,0.8257363694541487,0.77965006452019,0.8013918788489178,0.8025417387928954,0.8357053158341989
bce_ibce,0.5683034727011405,0.5790685665600483,0.5671477860839563,0.5941901885227395,0.5449029418606159,0.5582017316779185,0.5585400384862791,0.5777759814785635
bitter,0.8059375000000001,0.8359375,0.8306250000000001,0.84375,0.765625,0.78125,0.8125,0.8375
blood_brain_barrier,0.7510144927536231,0.7693840579710145,0.6894202898550725,0.7273550724637682,0.6755072463768116,0.7143115942028986,0.717536231884058,0.7351449275362318
cpp_cellppd,0.8861283643892339,0.9033509700176368,0.907450348899624,0.9163637757840656,0.8808028525419831,0.8953147764741967,0.8871160187102216,0.905221992178514
cpp_cellppdmod,0.9068325412356724,0.9151803187028236,0.904937098126922,0.911778958158606,0.8885108563973535,0.9008200540490168,0.9053331469574132,0.9117696393625944
cpp_cppredfl,0.8902758298270219,0.903693314633006,0.905212716222534,0.9166783543712016,0.8922440392706873,0.9037283777466106,0.9004230949041607,0.910144927536232
cpp_kelmcpp,0.8468143814381437,0.8563829382938293,0.8462498649864987,0.8583627362736272,0.8133622562256226,0.8244611461146114,0.8479532353235323,0.8574320432043203
cpp_mlcpp,0.8441547692038188,0.86286894760224,0.8585280761185116,0.8771316205405721,0.8344721795457539,0.8534411108138883,0.8500115956369786,0.8648734856429522
cpp_mlcppue,0.6649928876244666,0.6901137980085348,0.6817780938833572,0.7135135135135136,0.6413940256045519,0.6471550497866287,0.6627880512091038,0.6979374110953058
cpp_sanders,0.5940974967061925,0.6603519668737061,0.5448428383210991,0.61446452098626,0.5415358554488989,0.6021456804065499,0.5505044231131188,0.6073028420854507
hem_hemopi,0.9355157677571472,0.9456981811292156,0.9388672055913436,0.9471773820049684,0.9164175613658372,0.9291788766788768,0.9436470253884048,0.951957601785188
hiv_apv,0.8418988342636764,0.8574851700396644,0.838406297172489,0.848429206134122,0.8564007393109817,0.8695516112400584,0.8477938937975681,0.8610756304710782
hiv_bevirimat,0.7893829600351339,0.8021245059288538,0.7270234958278435,0.7510759771629336,0.7484848484848484,0.7792874396135264,0.7436517347386912,0.7656126482213439
hiv_idv,0.8893270264681556,0.9131095405490568,0.899088335499626,0.9101334239237464,0.9092607871519162,0.9196387584190004,0.914425772480208,0.9229366433297884
hiv_lpv,0.8797108596010197,0.9139008802853196,0.8954186818397345,0.9024190323046156,0.9083215343489944,0.9191385435779028,0.913878601713842,0.9213684622837942
hiv_nfv,0.891386646510456,0.9117674477198288,0.919028760393046,0.9371131267321744,0.908236860670194,0.9253336482741245,0.9214972789115644,0.9293068783068784
hiv_protease,0.6215885924962047,0.7701310724354803,0.6680320700498807,0.746625867490783,0.5553285079158534,0.6393393515506398,0.6388452342225114,0.7514626707872478
hiv_rtv,0.9055830155947048,0.9390020687799764,0.9553560064197116,0.9616055773566,0.9344818309166644,0.943900809885614,0.9342912805098662,0.9528480513576948
hiv_sqv,0.8876067226890756,0.9234448688566336,0.8996713012477718,0.9118212375859436,0.8785065444359562,0.8933043035395976,0.9042161446396738,0.9149905780494016
hiv_v3,0.9125056465273856,0.92054724261246,0.903658196875588,0.9234801430453604,0.9084396762657632,0.9176124600037644,0.9116128364389232,0.918914925654056
isp_il10pred,0.6578805964450045,0.688909665281737,0.6567476652259286,0.7039916081779877,0.6280954411874854,0.6813426768355457,0.6255511858552125,0.6688873712918618
nep_neuropipred,0.8689142857142859,0.8920000000000001,0.8675428571428571,0.8897142857142859,0.8293714285714285,0.8611428571428572,0.8669714285714285,0.8862857142857143
neuropeptide,0.8743505154639177,0.8905154639175258,0.8701855670103094,0.8911340206185567,0.824659793814433,0.8478350515463917,0.8535257731958763,0.8938144329896908
