target,model,spearman_mean,spearman_std
mcc_mean,linear_sfs,0.3854945054945055,0.322403724130433
mcc_mean,ridge_sfs,0.6571428571428573,0.13877863567944523
mcc_mean,lasso_coef,0.5674725274725275,0.17201590005225845
mcc_mean,rf_sfs,0.5745054945054946,0.1938336942495966
mcc_mean,rf_importance,0.41415979730323704,0.17314895585107848
mcc_mean,rf_permutation,0.5085714285714286,0.22994347288964342
f1_mean,linear_sfs,0.49010989010989015,0.19804624749131972
f1_mean,ridge_sfs,0.5604395604395604,0.2269937095725008
f1_mean,lasso_coef,0.5630769230769233,0.2127327213273562
f1_mean,rf_sfs,0.665934065934066,0.19489933430677245
f1_mean,rf_importance,0.5665934065934067,0.1698911050110884
f1_mean,rf_permutation,0.5507692307692308,0.21973450073923062
auc_roc_mean,linear_sfs,0.44351648351648354,0.15609285721925326
auc_roc_mean,ridge_sfs,0.6668131868131868,0.10921639633919497
auc_roc_mean,lasso_coef,0.6043956043956045,0.10104155086202798
auc_roc_mean,rf_sfs,0.6386813186813187,0.15143861910237222
auc_roc_mean,rf_importance,0.570989010989011,0.1292815927571212
auc_roc_mean,rf_permutation,0.5305494505494506,0.14992555412193972
