Model,MCC_mean,MCC_std,AUC-ROC_mean,AUC-ROC_std,F1_mean,F1_std
Logistic Regression,0.6868648254162941,0.06567203514700155,0.8124775317479813,0.03478316490037663,0.7001308047419131,0.06239156551864273
SVM,0.6184948125973838,0.02369488496906285,0.6992063492063492,0.014814814814814826,0.5691607396870555,0.03050476557277123
KNN,0.6121906246273493,0.029220812645985722,0.6988325281803542,0.017501110899551635,0.5656410256410257,0.036536437190885895
Random Forest,0.5949045095854186,0.02922233825527157,0.6881182424660686,0.020717643966515827,0.5429804545337279,0.041412974691113574
XGBoost,0.6602345035906771,0.10001915436615492,0.7477570738440303,0.04778776348777357,0.6431970045622663,0.09964174056878936
