Model,MCC_mean,MCC_std,AUC-ROC_mean,AUC-ROC_std,F1_mean,F1_std
Logistic Regression,0.8877459925142495,0.04947068002708362,0.9439008098856141,0.024572991606641365,0.9418460782646486,0.025301498634795448
SVM,0.881346743120017,0.03205722628021458,0.9406478157208724,0.015932442178726546,0.9383959065500648,0.016451742545747862
KNN,0.8654722920364637,0.04294685429669671,0.9321440167728887,0.021802320180057448,0.9291476250761439,0.02284445195052593
Random Forest,0.8490890571627034,0.05612168823208761,0.9236309407846519,0.028347442033645736,0.9197802294759212,0.030242042556275377
XGBoost,0.865144318937884,0.05091459846988627,0.9320855714192945,0.025321405700638785,0.9291904075845299,0.026444947250315532
