Model,MCC_mean,MCC_std,AUC-ROC_mean,AUC-ROC_std,F1_mean,F1_std
Logistic Regression,0.69105183221041,0.01671433281302305,0.845142857142857,0.008359279336187296,0.8460436226992252,0.008909193393753125
SVM,0.7239429212486372,0.021674476013871548,0.8611428571428572,0.010932072268405158,0.8565840585182294,0.011967435276817009
KNN,0.5614426127511374,0.04247685793598523,0.768,0.023931876104425046,0.7978508567172549,0.01686126096273323
Random Forest,0.6730998780971527,0.019963433366643208,0.8354285714285716,0.009663734014450153,0.8295180222236798,0.01033764805448502
XGBoost,0.6747350433538959,0.018541618913590838,0.8371428571428572,0.009389529557231423,0.8352186533271599,0.011388727384767806
