Model,MCC_mean,MCC_std,AUC-ROC_mean,AUC-ROC_std,F1_mean,F1_std
Logistic Regression,0.8838123206370243,0.06214924866020587,0.9380576923076923,0.03379397930808598,0.9575937846836847,0.02225644398052323
SVM,0.9067631165728546,0.05055043279244843,0.9515448717948718,0.025491167850763365,0.9648506787330318,0.01919069340316182
KNN,0.8967883308146041,0.045900971496245245,0.9368333333333334,0.026543465402157938,0.9619599621819377,0.017393744134051363
Random Forest,0.9275017177354119,0.05254594578436134,0.9568333333333333,0.028830924754891615,0.9729958166140186,0.020026807551769082
XGBoost,0.9276791468231848,0.06935238190641936,0.9595,0.033580748453044755,0.9725312615612282,0.02729031589197275
