Model,MCC_mean,MCC_std,AUC-ROC_mean,AUC-ROC_std,F1_mean,F1_std
Logistic Regression,0.6176424697944914,0.04113545432429871,0.8087517468418757,0.022645425285729822,0.765263891278081,0.02722381750806882
SVM,0.7112601309775487,0.01814298979537864,0.8480949066785977,0.012153918962414504,0.8155678137398675,0.014587858086425643
KNN,0.6981870154149,0.009934404457165312,0.8313590567882414,0.006223661510826533,0.7953595308144058,0.008240837959747598
Random Forest,0.6815730742214783,0.03581666276462244,0.8307140766061674,0.021225899056622536,0.7931945292172207,0.026340131736701827
XGBoost,0.7214189192351439,0.014489832772637495,0.8534411108138883,0.011556993011335488,0.8222858393239834,0.013042762342702184
