Model,MCC_mean,MCC_std,AUC-ROC_mean,AUC-ROC_std,F1_mean,F1_std
Logistic Regression,0.12014435391488561,0.014800579703970232,0.5593336901529554,0.0073300046952439815,0.44685443232421196,0.01132491890206755
SVM,0.135030554318919,0.023803605310768968,0.5452455809763918,0.008139268054911032,0.2682596520227699,0.017139833199998192
KNN,0.11679249274964412,0.04175186705979083,0.5555782476582701,0.01987651379120359,0.41820871787634495,0.02816929924262345
Random Forest,0.11684993279166425,0.03824983150986712,0.5423357053448454,0.014106131581271062,0.28556809179792164,0.030394121365518455
XGBoost,0.10514754698456655,0.02089222572810372,0.5471170792044245,0.009462983309965778,0.3758508151388233,0.01862859397613128
