Model,MCC_mean,MCC_std,AUC-ROC_mean,AUC-ROC_std,F1_mean,F1_std
Logistic Regression,0.8356449230357118,0.022249579234030353,0.9095708639186901,0.013534477029626967,0.8578329256949946,0.018918621000073254
SVM,0.8598207382938907,0.022600272703045893,0.9176124600037644,0.015836752927375446,0.8785717454019885,0.019105640793487175
KNN,0.8525930409442101,0.030315128774753747,0.9105510069640506,0.01984866211320681,0.8718548295130575,0.026513490982965526
Random Forest,0.8358529726621153,0.04182229210835427,0.8959820252211557,0.02710378595522308,0.8558471224169161,0.03683431983121584
XGBoost,0.852347740742891,0.03417293688236575,0.9084820252211557,0.021309272493497705,0.871196487930446,0.030161677690968437
