name,Logistic_Regression_MCC_mean,Logistic_Regression_AUC-ROC_mean,Logistic_Regression_F1_mean,SVM_MCC_mean,SVM_AUC-ROC_mean,SVM_F1_mean,KNN_MCC_mean,KNN_AUC-ROC_mean,KNN_F1_mean,Random_Forest_MCC_mean,Random_Forest_AUC-ROC_mean,Random_Forest_F1_mean,XGBoost_MCC_mean,XGBoost_AUC-ROC_mean,XGBoost_F1_mean
antimicrobial,0.6184729060532064,0.8090228106490687,0.8055003209588365,0.6762458071372676,0.8347857274609062,0.8223487493164011,0.6276410453987042,0.8116852241685721,0.8001978659085378,0.6514005191323884,0.823657521131544,0.8134407685117256,0.6561736197454164,0.8263180315677602,0.8169087664252757
antimicrobial_UniDL4BioPep,0.8806530327874235,0.9398994573039066,0.9490336636570268,0.9031846677653832,0.9515536500205009,0.9585455211934912,0.8426842024405088,0.9236400322082166,0.9304519220349652,0.8475933318766163,0.9212564746162024,0.935833857755688,0.8768949869976828,0.9379611657541972,0.9474893925901092
antioxidant,0.618337738241536,0.8089622641509434,0.8084833372071216,0.6288517457870103,0.8141509433962264,0.8138671507503361,0.5577154554293877,0.7778301886792452,0.7696652943269375,0.5929417547569151,0.7962264150943398,0.7938399004637334,0.6024092373373966,0.8009433962264152,0.7996650004477489
antioxidant_UniDL4BioPep,0.3733181899920647,0.6864115546993999,0.6795173724962138,0.4461497595966305,0.7221072364023016,0.7075472936408278,0.2987507011967164,0.6488619210314704,0.6329965396834405,0.4246536986688088,0.7114756060963614,0.6975187527630194,0.3718170479571656,0.6854122003300837,0.6739388093607748
antiparasitic,0.4966829927494669,0.747396076551888,0.616983188953075,0.5310351463915373,0.7165585240166802,0.5910265481391724,0.4422652309262035,0.6874008692375124,0.5340044889750771,0.4917526263511959,0.6988525204610808,0.5591732569499723,0.5033646443357169,0.7308583413211427,0.6029218859722484
antiviral,0.5810382925248696,0.7904193086402642,0.7892922144896124,0.658566178525386,0.828120993728561,0.8209374339943247,0.6041106046439749,0.8019657438527193,0.8006599140438191,0.6150037032433533,0.8068930967972928,0.8014883582583986,0.6357650352494499,0.8175906355751129,0.8138728477149447
atb_antitbp,0.6430597711164827,0.8211020408163264,0.8193966455101223,0.6908152556561579,0.843591836734694,0.8358641796799692,0.6308254757815991,0.8130612244897959,0.8014310712655842,0.628819769131653,0.8130204081632652,0.8040379147276882,0.6339375369645256,0.8150204081632655,0.8065502816312989
atb_iantitb,0.4716935760056444,0.7338775510204082,0.7325751361026176,0.491505832462482,0.7421224489795918,0.7237212110854767,0.5102887534645264,0.754,0.7486373584726894,0.4813182381414099,0.7379591836734694,0.7206088103508523,0.4642882298075355,0.7297959183673469,0.7198483820575586
avp_amppred,0.6105616963923974,0.804945400185548,0.80536725228059,0.6713191052561206,0.8354682180421097,0.8319357995711251,0.6273554187710363,0.8133116825481357,0.8152222491792107,0.6580958267584504,0.8285189896088913,0.8234875458538069,0.6907400204509365,0.8452235715659361,0.8441224968434469
avp_avppred,0.5287248526240649,0.7634700846630788,0.7997815794218397,0.580121228556597,0.7883448473022169,0.819718489096273,0.5163446775843349,0.7508449259853756,0.8044324461845088,0.604264775644936,0.8013918788489178,0.8304201663378408,0.5915081359804039,0.7941985858013616,0.827002106553558
bce_ibce,0.1169229584400709,0.5582017316779185,0.5021078847741876,0.1174999879357453,0.5518400356895095,0.3968823971785487,0.0540928377714323,0.5268235449805829,0.4563897035173082,0.0719615506768323,0.5315087139839165,0.3594714564947136,0.1153525808612951,0.5561406829711517,0.4702462068202123
