name,esm_c_mean,esm_c_max,prott5_mean,prott5_max,protbert_mean,protbert_max,ankh_em_mean,ankh_em_max
DPPIV_inhibitory_activity,0.8447914063598245,0.8667844628778549,0.8440959657472495,0.8522379362619448,0.8147590926496285,0.8267807230508227,0.8236119692241658,0.848158743507178
HemoPI1,0.9677243725602814,0.9754567520766558,0.9702193783061468,0.9745199113450524,0.9504940198561777,0.96258993564049,0.975717797512071,0.978106644481054
HemoPI2,0.7971376035645343,0.8019370980200353,0.7908250165417889,0.8021425889813715,0.775636559263126,0.7926033392157338,0.7940617232685321,0.8025072975942029
HemoPI3,0.8002922046703984,0.8119773754686461,0.7932826986851943,0.8076924057120614,0.7629934949919777,0.778609503063516,0.8000395604968549,0.8170779792744458
Hemo_HAPPENN,0.7645836587732479,0.7839122991429986,0.7706094147298822,0.7922819984721483,0.7269292629711397,0.746095385978183,0.7687211717668816,0.7818836262300118
ace_inhibitory_activity,0.7958846732754982,0.8123532543034555,0.8055324523329436,0.8256533540610587,0.7450140945094776,0.7583227424630763,0.7992077157777473,0.829523307493776
ace_vaxinpad,0.9168572441444504,0.9334166262291748,0.9311565238052388,0.9424303404416892,0.8907425047788193,0.9073830612336468,0.9295112830826818,0.9543217284014676
acp_anticp,0.8949349700456498,0.9067874670209036,0.9100116956528994,0.9236236132070176,0.8847470998123711,0.90272751485792,0.8975899096733523,0.9149872116913944
acp_iacp,0.9075869597229224,0.9211231628157266,0.9083244028549586,0.9248992888560036,0.8899705947733247,0.906472387627426,0.907383690606622,0.920999740999741
acp_mlacp,0.7132520373514998,0.7201701390007841,0.7187979071926408,0.7524536452032773,0.6923464659389239,0.7353174603174603,0.7262903625310606,0.7626045011470823
afp_amppred,0.8978570759109422,0.910132807709752,0.8991272102055449,0.9110807063561877,0.8768708865082431,0.8908760565281166,0.9042080282649492,0.9184091683214048
afp_antifp,0.9143015541070464,0.9302755982596468,0.92568069619457,0.9349442485166752,0.897196847425936,0.90690145430477,0.9189477996385232,0.9280092401149146
aip_aippred,0.468641205570902,0.4975231671371661,0.4390495692657469,0.4895864855689587,0.39854280346936,0.4765015423698058,0.4045922877308801,0.5103556752552885
aip_antiinflam,0.5520024127266447,0.5775551263361562,0.5439391425111684,0.5692218530832773,0.5180607991784019,0.5419816590580719,0.5201465546692458,0.5564752930369071
amp_antibp,0.9659437651640106,0.9765387391693766,0.9684944929126716,0.9752720179421996,0.9486529729914028,0.9587606202147754,0.9707326007949196,0.9777361781105752
amp_antibp2,0.9360545343093016,0.9489996108450468,0.9429018312205584,0.9530051887674184,0.91982966783654,0.9327617784266552,0.9428678399018092,0.9514258122672906
amp_csamp,0.973048470360568,0.9762792054412476,0.9707925612619444,0.980978716272834,0.9659863007547802,0.9729958166140186,0.9782895089982452,0.9885312615612282
amp_fernandes,0.7993279947588404,0.8303204180222814,0.8048636048948948,0.8296231967964489,0.7481834047889906,0.783441258094357,0.7755884547808692,0.8050611605711608
amp_gonzales,0.7448282828282828,0.7973737373737374,0.7494403374403374,0.8819891219891222,0.725056721056721,0.7957264957264958,0.8453348873348873,0.8595959595959595
amp_iamp2l,0.8362956022340114,0.8591283845755662,0.8539335914355941,0.8718838109947441,0.807335765546925,0.8235082135155528,0.8343864715988737,0.865979612809981
amp_modlamp,0.9355267697940904,0.947952115365798,0.93962746133511,0.9514468275728678,0.9134793032068392,0.9226833633514332,0.9370264934960802,0.948400525835826
anitinflamatory,0.4192997558958316,0.4868060689319166,0.4119791709273592,0.4854687945431905,0.3589483418320143,0.4468544323242119,0.3854709386324647,0.4787980772687426
anti_MRSA,0.8679089200554208,0.9035268691549724,0.8756326390064002,0.8916686366205868,0.8417809469563767,0.8596188972116103,0.8766704655701586,0.8982456488897167
antibacterial,0.9344853923556208,0.9460083518884136,0.9384863051306735,0.9489663008168184,0.9246610389652774,0.9343696540446044,0.9331005837345476,0.9498170180582534
anticancer_alternative,0.915398377941789,0.9268115283838644,0.9214284664515492,0.9313006210415586,0.8991791381472366,0.9090389014707771,0.9207141395374506,0.9323908938355188
anticancer_main,0.721301228413665,0.7419183863633793,0.7252303630605034,0.7455853497971646,0.7164130986233387,0.7294198052502959,0.7215029796748322,0.7396035655764971
antidiabetic,0.7328207546936206,0.7507777936384175,0.7060312319435887,0.7423720063347149,0.6955175391353379,0.7298996826160818,0.7148761595957961,0.7572259444898408
antifungal,0.9410164962814432,0.9461624583372394,0.9540668752934076,0.9609269068629612,0.9285645381253886,0.939286589214408,0.9496183861644724,0.9608582801402928
antimalarial_alternative,0.8866546080304294,0.919212816287178,0.8973636940445306,0.9240911878378186,0.8316969009715409,0.8876770641114,0.853752296415989,0.9129222629222628
antimalarial_main,0.6710870481612825,0.7319230390037843,0.7176176881612131,0.747088632554471,0.6042220058331977,0.7001308047419131,0.6388106116660816,0.7220690291620524
antimicrobial,0.8228275766082636,0.8424782279060435,0.8303253072452138,0.8446203381554142,0.8116792942241553,0.8223487493164011,0.8223249145779873,0.840945731565484
antimicrobial_UniDL4BioPep,0.9592941050598288,0.9670816783299352,0.9630068212596384,0.9686589619479709,0.9442708714462562,0.9585455211934912,0.9517933307766908,0.9666960071984584
antioxidant,0.8940440582453453,0.9190823615306846,0.9194001224964998,0.9389911276228812,0.7971041366391756,0.8138671507503361,0.9089720992168188,0.9313761403948568
