name,esm_c_mean,esm_c_max,prott5_mean,prott5_max,protbert_mean,protbert_max,ankh_em_mean,ankh_em_max
DPPIV_inhibitory_activity,0.6944380469020182,0.735976095414247,0.6881119270911588,0.6987651534079949,0.6359927545196449,0.6572750767882118,0.6537908806525455,0.6943727033674296
HemoPI1,0.9380943310145022,0.9513728213503444,0.9419230941084222,0.9494768064053865,0.9017017207305044,0.9260904637416008,0.952076266613348,0.9567087782395974
HemoPI2,0.5521557269503385,0.5654758120236458,0.5390176548715966,0.5653640098892625,0.4990676755195805,0.5340997648636284,0.5344389645822282,0.5562992640738896
HemoPI3,0.5542529701307846,0.5804465987663615,0.5370550425708929,0.5681578984977389,0.4685346704864523,0.5186447748639844,0.5476840669755119,0.5890645081907032
Hemo_HAPPENN,0.6089764176059523,0.641629749123932,0.6124048413900555,0.6530134768916235,0.5412987490069356,0.577741003828357,0.6084700054570661,0.6346495743070797
ace_inhibitory_activity,0.5937828247316417,0.6267676367581368,0.6089489153339723,0.6532264829531153,0.4972303232971938,0.5287919660983329,0.6081072858480955,0.6666368305233448
ace_vaxinpad,0.8550913461992966,0.885349573278296,0.8790221248339233,0.9002928640226304,0.80864452523672,0.8386296092935097,0.8769327388962518,0.9211599318886202
acp_anticp,0.8051159578766034,0.8208358075989863,0.829964838613793,0.8589467715493244,0.7772519294858988,0.8110443128671285,0.8162842523955713,0.8445790601425858
acp_iacp,0.8594051914717401,0.8822288712849311,0.863070636548675,0.888654769211341,0.8257463553746988,0.8591241777426571,0.8590143946588442,0.8745948821871684
acp_mlacp,0.6036818158615065,0.629852322133506,0.6077893187829007,0.6560911377599541,0.5704519085637263,0.6465252684930778,0.6259096375849679,0.6805832046844754
afp_amppred,0.8111190200767047,0.8352257120467905,0.8112649932193227,0.8337568091565684,0.7636846551952899,0.7948931080106469,0.8178786324810419,0.847200890640204
afp_antifp,0.8296488991854718,0.8633512997610673,0.8526440580190109,0.8713720485792951,0.7933305099407765,0.8142563157252868,0.8396508826758422,0.8585133653653569
aip_aippred,0.2252616966127857,0.2539177936562419,0.1889086147577656,0.2743845716717154,0.1366438088523177,0.1817867821392703,0.1454611601351045,0.1925364338602161
aip_antiinflam,0.3096925041886866,0.3252474954773061,0.3045397164113601,0.3341009444831659,0.2709304819728653,0.2885391955757401,0.27168876766478,0.3082814606839987
amp_antibp,0.9340802949165864,0.9539184349555532,0.9390383654642832,0.9515053064720675,0.8996873016020958,0.9197866670730152,0.9421978012196476,0.9560984144007364
amp_antibp2,0.8787106764522937,0.9043455128463772,0.8909968579664509,0.9104350805135027,0.842777848979176,0.8697581959571835,0.8898480415983105,0.9074832867586052
amp_csamp,0.9305879036222464,0.9394299110347124,0.9216008884282108,0.9478575910896394,0.908508926516616,0.9276791468231848,0.9422769513417382,0.9686791468231848
amp_fernandes,0.6022319440159973,0.6550001101122189,0.6183442846842002,0.657374143257054,0.5136255215171366,0.5590607289149195,0.5660012095260039,0.6235699075125201
amp_gonzales,0.6981015271291858,0.7701594182753051,0.7253331419305498,0.8636964040525802,0.7081407501796395,0.7732882801212224,0.8305855939071078,0.8454049778203687
amp_iamp2l,0.7840430919215218,0.8127885566021185,0.805160410748303,0.8300580587430755,0.7412234025688058,0.7640130910185878,0.7805853523973523,0.8205584889235293
amp_modlamp,0.8781176189140799,0.9026381560471808,0.885170943880539,0.9085479399883004,0.8335679391175195,0.851774626029103,0.880287899062935,0.9032854678965412
anitinflamatory,0.1911570878413377,0.2334949652367257,0.1820014002497545,0.2151046563565451,0.1187929761519358,0.135030554318919,0.1418133249120422,0.2031243173000764
anti_MRSA,0.8593842931619594,0.8913602536469452,0.864069090176874,0.8768411097588069,0.8264438258170459,0.8428179887886303,0.8665808923193736,0.8892897580579007
antibacterial,0.8742400327358044,0.8966625741487382,0.8810197342684865,0.9018009519576332,0.8528480960765357,0.8734137848624306,0.8697476865344628,0.9035247011008056
anticancer_alternative,0.8399941952850523,0.8653442485109721,0.8501031003349165,0.8707983950106707,0.8005833557792744,0.8212118534801242,0.8478293125595444,0.8729981491774138
anticancer_main,0.4470643378249964,0.4862874159028515,0.4541291584460735,0.5036648040056491,0.4515540076580156,0.4986258956446027,0.4561316093121761,0.5052904732405282
antidiabetic,0.4492733483244865,0.4808365544127346,0.4016703583624104,0.4755975384662759,0.3767716468028115,0.4338747688799607,0.4066741140152041,0.4887796819066242
antifungal,0.8856111214767868,0.8966277037259571,0.9112665270275904,0.924273679678304,0.8575277003230637,0.8794549606699832,0.9025194678708504,0.9244504945728768
antimalarial_alternative,0.873739529798198,0.9057901145691848,0.8829567714912698,0.911391372032646,0.8102725534432954,0.8688787230536125,0.8368861133185221,0.8977274988123621
antimalarial_main,0.6900829925338232,0.7241380182092467,0.7281343436123856,0.7587628124588814,0.6345378551634246,0.6868648254162941,0.6589902918929331,0.7351053086978468
antimicrobial,0.6761440071266881,0.718668722350672,0.685500656385143,0.722190714160222,0.6459867794933967,0.6762458071372676,0.6662320777382191,0.7145033842787396
antimicrobial_UniDL4BioPep,0.9052854163545828,0.9230709332683882,0.9136439025473198,0.9265858400474676,0.8702020443735229,0.9031846677653832,0.8907907539376062,0.922402584335523
antioxidant,0.7903086174317795,0.8439832248745412,0.8409424571320898,0.8806651866348071,0.6000511863104492,0.6288517457870103,0.8215174880381093,0.8658469021269661
antioxidant_UniDL4BioPep,0.4468135115492351,0.4955832626819882,0.4860151324784644,0.5445723366431986,0.3829378794822772,0.4461497595966305,0.4480237044600123,0.5111673781876332
antiparasitic,0.5508013169589422,0.5701826474841336,0.5465862914249943,0.5847629995576433,0.4930201281508241,0.5310351463915373,0.5389122225989069,0.5885137419248536
antiviral,0.6495168093642623,0.6997684490056029,0.6626173959191662,0.7208478629863554,0.6188967628374067,0.658566178525386,0.6356085073962308,0.7221585414614415
atb_antitbp,0.6714608325739049,0.7028470246608035,0.6720929853574822,0.6979478367836554,0.6454915617300837,0.6908152556561579,0.6443643431593702,0.6887718597386036
atb_iantitb,0.5305245061128308,0.548016047618401,0.5238148123381463,0.5651083254529314,0.4838189259763196,0.5102887534645264,0.5029145323506914,0.5493963664896453
avp_amppred,0.7057452798735224,0.730151669498132,0.7116150220259349,0.7389903978855894,0.6516144135257882,0.6907400204509365,0.6957648963571013,0.7669863208383996
